epoch,accuracy,loss,val_accuracy,val_loss
0,0.48436203598976135,1.2076530456542969,0.5561959743499756,1.0926542282104492
1,0.6617769002914429,0.83543461561203,0.5417867302894592,1.0931880474090576
2,0.7484084963798523,0.6565137505531311,0.5648415088653564,1.1081138849258423
3,0.796291172504425,0.5434616208076477,0.5158501267433167,1.4531794786453247
4,0.8394685983657837,0.439018189907074,0.5244956612586975,1.2608038187026978
5,0.8660392761230469,0.35727453231811523,0.5475504398345947,1.388936996459961
6,0.9045115113258362,0.2827688157558441,0.5475504398345947,1.5443676710128784
7,0.898422360420227,0.2784440815448761,0.5446686148643494,1.5422217845916748
8,0.9272072911262512,0.22029170393943787,0.5619596838951111,1.6340876817703247
9,0.9427068829536438,0.1774703562259674,0.5533141493797302,1.8806484937667847
10,0.9418765306472778,0.17398859560489655,0.5648415088653564,1.7639988660812378
11,0.9474121332168579,0.15613391995429993,0.5475504398345947,1.8866229057312012
12,0.9518405795097351,0.15293896198272705,0.5878962278366089,1.9806898832321167
13,0.9609742760658264,0.11720670759677887,0.5561959743499756,2.0108444690704346
14,0.9570993781089783,0.1317760944366455,0.5619596838951111,2.179076671600342
15,0.9618045687675476,0.11214417964220047,0.5561959743499756,2.0637972354888916
16,0.9670633673667908,0.10819260030984879,0.5648415088653564,2.2549498081207275
17,0.9576529264450073,0.12227378040552139,0.5619596838951111,2.1944422721862793
18,0.9717686176300049,0.09404979646205902,0.5504322648048401,2.298391103744507
19,0.9690008163452148,0.08725057542324066,0.5446686148643494,2.27652645111084
20,0.9709382653236389,0.0939999595284462,0.5734870433807373,2.094531774520874
21,0.9637420177459717,0.11338002234697342,0.5504322648048401,2.396425247192383
22,0.972875714302063,0.0828346386551857,0.5648415088653564,2.2863428592681885
23,0.9717686176300049,0.08580795675516129,0.5821325778961182,2.2541730403900146
24,0.9739828109741211,0.07965464890003204,0.5561959743499756,2.39113187789917
