epoch,accuracy,loss,val_accuracy,val_loss
0,0.37863272428512573,1.3272767066955566,0.48414984345436096,1.257919192314148
1,0.6565181016921997,0.9693814516067505,0.6484149694442749,0.8978498578071594
2,0.8051480650901794,0.5703706741333008,0.7031700015068054,0.7591704726219177
3,0.8580127358436584,0.3984660804271698,0.6858789920806885,0.7490999698638916
4,0.896484911441803,0.3063371777534485,0.6945244669914246,0.7915574908256531
5,0.9122613072395325,0.25102150440216064,0.6916426420211792,0.835710883140564
6,0.9308054447174072,0.20921394228935242,0.6772334575653076,0.9019560217857361
7,0.947135329246521,0.16870777308940887,0.6772334575653076,0.9544224143028259
8,0.9559922218322754,0.14918756484985352,0.6685879230499268,1.0056408643722534
9,0.9606974720954895,0.13089872896671295,0.6772334575653076,1.0610430240631104
10,0.9665098190307617,0.11780659854412079,0.6772334575653076,1.1213243007659912
11,0.9703847169876099,0.10369694232940674,0.6628242135047913,1.176016926765442
12,0.971491813659668,0.09436620771884918,0.6657060384750366,1.2279343605041504
13,0.9701079726219177,0.0906318724155426,0.6743515729904175,1.2647511959075928
14,0.975089967250824,0.08865077793598175,0.6484149694442749,1.308381199836731
15,0.9723221659660339,0.08441975712776184,0.6599423885345459,1.382065773010254
16,0.9759202599525452,0.07815136015415192,0.6743515729904175,1.3223389387130737
17,0.974259614944458,0.07452850043773651,0.6541786789894104,1.387819766998291
18,0.9739828109741211,0.07313171774148941,0.6628242135047913,1.4574767351150513
19,0.9759202599525452,0.07175827026367188,0.6570605039596558,1.4596940279006958
20,0.9773041605949402,0.0673023909330368,0.6599423885345459,1.4826527833938599
21,0.975643515586853,0.06974775344133377,0.6685879230499268,1.4907699823379517
22,0.977027416229248,0.062216997146606445,0.6714697480201721,1.508739948272705
23,0.977027416229248,0.06287496536970139,0.6657060384750366,1.5246471166610718
24,0.9778577089309692,0.058560583740472794,0.6657060384750366,1.4867608547210693
